DIS;Tj;label1;tv1;c1;f1;ta1;label2;tv2;c2;f2;ta2
1;1;Auto;65;11000;0;0;Bus;85;9500;0;10
1;2;Auto;65;11000;0;0;Bus;95;9500;0;20
1;3;Auto;65;11000;0;0;Bus;85;8000;0;20
1;4;Auto;65;11000;0;0;Bus;95;8000;0;10
1;5;Auto;65;11000;0;0;Bus;85;6000;0;10
1;6;Auto;65;11000;0;0;Bus;95;6000;0;20
1;7;Auto;65;11000;0;0;Bus;85;8000;0;20
1;8;Auto;65;11000;0;0;Bus;95;8000;0;10
2;1;Auto;60;11000;0;0;Tren;70;11000;2;10
2;2;Auto;60;11000;0;0;Tren;80;11000;6;20
2;3;Auto;60;11000;0;0;Tren;70;9000;2;20
2;4;Auto;60;11000;0;0;Tren;80;9000;6;10
2;5;Auto;60;11000;0;0;Tren;70;7000;6;10
2;6;Auto;60;11000;0;0;Tren;80;7000;2;20
2;7;Auto;60;11000;0;0;Tren;70;9000;6;20
2;8;Auto;60;11000;0;0;Tren;80;9000;2;10
